iso3c|year|fmratio
AFG|1991|19.6773097398593
AFG|1992|19.7702828644115
AFG|1993|19.8176498776766
AFG|1994|19.8675998686106
AFG|1995|20.0048125023746
AFG|1996|19.8014033487854
AFG|1997|19.5998733776512
AFG|1998|19.4438819419835
AFG|1999|19.3381069250816
AFG|2000|19.2540692306719
AFG|2001|19.4336803181116
AFG|2002|19.6750833851188
AFG|2003|19.9321835869041
AFG|2004|20.176475823575
AFG|2005|20.4069945021381
AFG|2006|20.1549697185607
AFG|2007|19.9023633659213
AFG|2008|19.703669818034
AFG|2009|19.6124799755893
AFG|2010|19.6597738616685
AFG|2011|20.1551675656331
AFG|2012|20.7789873677724
AFG|2013|22.2178958025076
AFG|2014|23.7490645063876
AFG|2015|25.3757325289357
AFG|2016|27.1029295008949
AFG|2017|28.93696493811
AFG|2018|27.8325779792055
AFG|2019|26.5817299358641
AFG|2020|24.6862301129122
AFG|2021|21.8409819358079
AFG|2022|7.34537368323521
AFG|2023|6.98535794895538
ALB|1991|70.8192263602676
ALB|1992|71.0571900826446
ALB|1993|70.7225553166771
ALB|1994|70.448822396682
ALB|1995|70.0739285811714
ALB|1996|69.8394353407355
ALB|1997|70.1172406289103
ALB|1998|69.8835343018231
ALB|1999|69.5968458462905
ALB|2000|69.4545759443257
ALB|2001|69.3030396934952
ALB|2002|69.2320749112409
ALB|2003|69.8762433495258
ALB|2004|70.5922376050171
ALB|2005|71.390054378285
ALB|2006|72.2705254005714
ALB|2007|73.2401994360992
ALB|2008|74.3047375997906
ALB|2009|71.2983842122452
ALB|2010|73.2534992711484
ALB|2011|77.716554094087
ALB|2012|74.8168694639409
ALB|2013|71.2606907357838
ALB|2014|69.4344525963839
ALB|2015|73.3286516853933
ALB|2016|76.6610694313928
ALB|2017|74.5193174307517
ALB|2018|76.1195137517997
ALB|2019|77.8305014810121
ALB|2020|77.4244906791974
ALB|2021|78.7746037540689
ALB|2022|78.0343581803436
ALB|2023|78.0831029844348
DZA|1991|14.4405281708664
DZA|1992|14.5693886657742
DZA|1993|14.6424384525205
DZA|1994|14.7639273782083
DZA|1995|15.0009715655159
DZA|1996|15.2599761299362
DZA|1997|15.5805881197197
DZA|1998|15.9106833595537
DZA|1999|16.2518340669601
DZA|2000|16.6029558241581
DZA|2001|16.9648314927259
DZA|2002|17.338726263111
DZA|2003|17.7244099937712
DZA|2004|18.1215932914046
DZA|2005|18.5329983627844
DZA|2006|18.9571365444101
DZA|2007|19.3955711694071
DZA|2008|19.8490269657038
DZA|2009|20.3168398312931
DZA|2010|20.5628528800866
DZA|2011|21.8959496692254
DZA|2012|23.3039837265587
DZA|2013|23.8856181665265
DZA|2014|22.5044102439321
DZA|2015|24.3894717800289
DZA|2016|25.479655344731
DZA|2017|25.2633331315455
DZA|2018|25.0453720508167
DZA|2019|24.8565041387227
DZA|2020|24.6660915132924
DZA|2021|25.4346927747227
DZA|2022|24.5996387718242
DZA|2023|25.09815044261
AGO|1991|94.9774159862106
AGO|1992|94.9171937678407
AGO|1993|94.913868980259
AGO|1994|94.9672955974843
AGO|1995|95.077426664988
AGO|1996|95.0567709775685
AGO|1997|95.1038911975822
AGO|1998|95.2092864975234
AGO|1999|95.3598425097485
AGO|2000|95.5412885777115
AGO|2001|95.5608362615972
AGO|2002|95.6303987656351
AGO|2003|95.7305418781565
AGO|2004|95.8382425601459
AGO|2005|95.9313824931535
AGO|2006|95.8528148401566
AGO|2007|95.7988727756317
AGO|2008|95.7596323073222
AGO|2009|95.7363310673098
AGO|2010|95.7363310673098
AGO|2011|93.6987672861523
AGO|2012|93.7957901350927
AGO|2013|93.8970987241453
AGO|2014|94.0015715299605
AGO|2015|94.1104591219785
AGO|2016|94.2238359456903
AGO|2017|94.3392834210864
AGO|2018|94.4606413994169
AGO|2019|94.5854878633542
AGO|2020|94.5763633538764
AGO|2021|95.5985307104553
AGO|2022|93.3860670239225
AGO|2023|93.5988473808789
ARG|1991|62.491935483871
ARG|1992|63.8029414128426
ARG|1993|65.2061890077029
ARG|1994|66.1719051870012
ARG|1995|65.3823030367807
ARG|1996|66.3003907239728
ARG|1997|67.7359744748737
ARG|1998|68.353522473701
ARG|1999|67.4916744371919
ARG|2000|67.1910232291291
ARG|2001|66.1465727372566
ARG|2002|63.663242024544
ARG|2003|65.2887448042077
ARG|2004|66.9633641201625
ARG|2005|65.7973034551157
ARG|2006|66.7377856500678
ARG|2007|66.0859811063209
ARG|2008|65.4327878672366
ARG|2009|66.47228731811
ARG|2010|65.0459616486184
ARG|2011|64.8117109567192
ARG|2012|65.5911336772855
ARG|2013|65.3940109241622
ARG|2014|65.8525748719159
ARG|2015|66.4531378938976
ARG|2016|67.0677751162463
ARG|2017|67.6959114139693
ARG|2018|69.7365994808584
ARG|2019|70.4387990762125
ARG|2020|70.5181276440886
ARG|2021|70.9480338069505
ARG|2022|70.9430241566307
ARG|2023|71.4898403993532
ARM|1991|80.5870101926817
ARM|1992|80.5580183974288
ARM|1993|80.4448473016316
ARM|1994|80.3094924100003
ARM|1995|80.2163397125813
ARM|1996|80.2196245129295
ARM|1997|80.2566802310691
ARM|1998|80.2823737669346
ARM|1999|80.3372396206412
ARM|2000|80.3994359549915
ARM|2001|80.4139666743809
ARM|2002|80.40257320836
ARM|2003|80.3810723334456
ARM|2004|80.3559598993066
ARM|2005|80.3299042213551
ARM|2006|80.3019527661718
ARM|2007|80.3105737316264
ARM|2008|80.4114994363021
ARM|2009|80.2890587324088
ARM|2010|80.2662011782675
ARM|2011|80.2804837328146
ARM|2012|80.3385548990288
ARM|2013|80.3207208251246
ARM|2014|80.2960435970453
ARM|2015|80.2454182347767
ARM|2016|80.0767439855135
